# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x90000000, 0x83CC848C, -0.000330924987793, -0.000330924987793)
@(5, 0x90000000, 0x83CC8B73, 0.000330924987793, 0.000330924987793)
@(5, 0x90000000, 0x8CCC848C, 0.000330924987793, 0.000330924987793)
@(5, 0x90000000, 0x8CCC8B73, -0.000330924987793, -0.000330924987793)
@(5, 0x00005000, 0x80887778, -0.000328302383423, -0.000328302383423)
@(5, 0x00005000, 0x80887887, 0.000328302383423, 0.000328302383423)
@(5, 0x00005000, 0x80888777, 0.000328302383423, 0.000328302383423)
@(5, 0x00005000, 0x80888888, -0.000328302383423, -0.000328302383423)
@(5, 0x00005000, 0x8F877778, 0.000328302383423, 0.000328302383423)
@(5, 0x00005000, 0x8F877887, -0.000328302383423, -0.000328302383423)
@(5, 0x00005000, 0x8F878777, -0.000328302383423, -0.000328302383423)
@(5, 0x00005000, 0x8F878888, 0.000328302383423, 0.000328302383423)
@(5, 0x00000007, 0x408C8480, -0.000328063964844, -0.000328063964844)
@(5, 0x00070000, 0x8480408C, -0.000328063964844, -0.000328063964844)
@(5, 0x00070000, 0x802AC4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x807FC4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x80A2C4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x80F7C4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x852AC4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x857FC4C0, 0.000320434570312, 0.000320434570312)
@(5, 0x00070000, 0x85A2C4C0, -0.000320434570312, -0.000320434570312)
@(5, 0x00070000, 0x85F7C4C0, -0.000320434570312, -0.000320434570312)
@(5, 0x000F0000, 0x20200822, -0.000320434570312, -0.000320434570312)
@(5, 0x000F0000, 0x20A808AA, -0.000320434570312, -0.000320434570312)
@(5, 0x0000000C, 0x0044EA4A, -0.000309944152832, -0.000309944152832)
@(5, 0x0000000C, 0x0044EAE0, -0.000309944152832, -0.000309944152832)
@(5, 0x0000000C, 0x00EE4040, -0.000309944152832, -0.000309944152832)
@(5, 0x000C0000, 0x404000EE, -0.000309944152832, -0.000309944152832)
@(5, 0x000C0000, 0x4A4000EE, -0.000309944152832, -0.000309944152832)
@(5, 0x000C0000, 0x4A400A44, -0.000309944152832, -0.000309944152832)
@(5, 0x30000000, 0x87888088, -0.000308513641357, -0.000308513641357)
@(5, 0x30000000, 0x87888F77, 0.000308513641357, 0.000308513641357)
@(5, 0x30000000, 0x88888088, 0.000308513641357, 0.000308513641357)
@(5, 0x30000000, 0x88888F77, -0.000308513641357, -0.000308513641357)
@(5, 0x00020000, 0x10980011, -0.000305175781250, -0.000305175781250)
@(5, 0x00020000, 0x10980455, 0.000305175781250, 0.000305175781250)
@(5, 0x00020000, 0x10980899, 0.000305175781250, 0.000305175781250)
@(5, 0x00020000, 0x10980CDD, 0.000305175781250, 0.000305175781250)
@(5, 0x00020000, 0x20200822, -0.000305175781250, -0.000305175781250)
@(5, 0x00020000, 0x20A808AA, 0.000305175781250, 0.000305175781250)
@(5, 0x00070000, 0x802A8080, -0.000305175781250, -0.000305175781250)
@(5, 0x00009000, 0x80887778, -0.000302553176880, -0.000302553176880)
@(5, 0x00009000, 0x80887887, 0.000302553176880, 0.000302553176880)
@(5, 0x00009000, 0x80888777, 0.000302553176880, 0.000302553176880)
@(5, 0x00009000, 0x80888888, -0.000302553176880, -0.000302553176880)
@(5, 0x00009000, 0x8F877778, 0.000302553176880, 0.000302553176880)
@(5, 0x00009000, 0x8F877887, -0.000302553176880, -0.000302553176880)
@(5, 0x00009000, 0x8F878777, -0.000302553176880, -0.000302553176880)
@(5, 0x00009000, 0x8F878888, 0.000302553176880, 0.000302553176880)
@(5, 0x000000A0, 0x044000EE, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x04400AEE, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x044A0044, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x044A00EE, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x044A0A44, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x044A0AEE, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x04E00044, 0.000300407409668, 0.000300407409668)
@(5, 0x000000A0, 0x04E000EE, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x0044044A, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x004404E0, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x004404EA, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x00440E40, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x00440E4A, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x00440EE0, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x00EE0440, 0.000300407409668, 0.000300407409668)
@(5, 0x00A00000, 0x00EE044A, 0.000300407409668, 0.000300407409668)
@(5, 0x50000000, 0x88888088, 0.000286579132080, 0.000286579132080)
@(5, 0x70000000, 0x87888088, -0.000284671783447, -0.000284671783447)
@(5, 0x70000000, 0x87888F77, 0.000284671783447, 0.000284671783447)
@(5, 0x70000000, 0x88888088, 0.000284671783447, 0.000284671783447)
@(5, 0x70000000, 0x88888F77, -0.000284671783447, -0.000284671783447)
@(5, 0x000F0000, 0x208AC16A, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208AC348, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208AC46A, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208AC648, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208AC96A, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208ACB48, -0.000282287597656, -0.000282287597656)
@(5, 0x000F0000, 0x208ACC6A, 0.000282287597656, 0.000282287597656)
@(5, 0x000F0000, 0x208ACE48, 0.000282287597656, 0.000282287597656)
@(5, 0x00000008, 0x00444373, 0.000271797180176, 0.000271797180176)
@(5, 0x90000000, 0x838CC08C, 0.000266075134277, 0.000266075134277)
@(5, 0x90000000, 0x838CCF73, -0.000266075134277, -0.000266075134277)
@(5, 0x00000007, 0x00444040, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00444062, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00446242, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00446260, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00664040, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00664062, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00666242, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x00666260, -0.000257492065430, -0.000257492065430)
@(5, 0x00000007, 0x02444240, -0.000257492065430, -0.000257492065430)
@(5, 0x00000008, 0x002228A8, -0.000251770019531, -0.000251770019531)
@(5, 0x00000008, 0x0022A028, -0.000251770019531, -0.000251770019531)
@(5, 0x00000080, 0x022008AA, -0.000251770019531, -0.000251770019531)
