# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00000004, 0x842A408C, -0.000236511230469, -0.000236511230469)
@(5, 0x00000004, 0x842A608E, -0.000236511230469, -0.000236511230469)
@(5, 0x00000004, 0x862A408C, -0.000236511230469, -0.000236511230469)
@(5, 0x00000004, 0x862A608E, -0.000236511230469, -0.000236511230469)
@(5, 0x00000004, 0x8CA2408C, 0.000236511230469, 0.000236511230469)
@(5, 0x00000004, 0x8CA2608E, 0.000236511230469, 0.000236511230469)
@(5, 0x00000004, 0x8EA2408C, 0.000236511230469, 0.000236511230469)
@(5, 0x00000004, 0x8EA2608E, 0.000236511230469, 0.000236511230469)
@(5, 0x00009000, 0x80887788, 0.000233650207520, 0.000233650207520)
@(5, 0x00009000, 0x80887877, -0.000233650207520, -0.000233650207520)
@(5, 0x00009000, 0x80888787, -0.000233650207520, -0.000233650207520)
@(5, 0x00009000, 0x80888878, 0.000233650207520, 0.000233650207520)
@(5, 0x00009000, 0x8F877788, -0.000233650207520, -0.000233650207520)
@(5, 0x00009000, 0x8F877877, 0.000233650207520, 0.000233650207520)
@(5, 0x00009000, 0x8F878787, 0.000233650207520, 0.000233650207520)
@(5, 0x00009000, 0x8F878878, -0.000233650207520, -0.000233650207520)
@(5, 0x00000003, 0x84480088, 0.000228881835938, 0.000228881835938)
@(5, 0x00000003, 0x844A0088, 0.000228881835938, 0.000228881835938)
@(5, 0x00000003, 0x84680088, 0.000228881835938, 0.000228881835938)
@(5, 0x00000003, 0x846A0088, 0.000228881835938, 0.000228881835938)
@(5, 0x00000003, 0x86480088, -0.000228881835938, -0.000228881835938)
@(5, 0x00000003, 0x864A0088, -0.000228881835938, -0.000228881835938)
@(5, 0x00000003, 0x86680088, -0.000228881835938, -0.000228881835938)
@(5, 0x00000003, 0x866A0088, -0.000228881835938, -0.000228881835938)
@(5, 0x0000000F, 0x102328A8, 0.000228881835938, 0.000228881835938)
@(5, 0x000D0000, 0x70438080, -0.000228881835938, -0.000228881835938)
@(5, 0x000D0000, 0x70438F80, 0.000228881835938, 0.000228881835938)
@(5, 0x000D0000, 0x70618080, -0.000228881835938, -0.000228881835938)
@(5, 0x000D0000, 0x70618F80, 0.000228881835938, 0.000228881835938)
@(5, 0x000D0000, 0x72438080, 0.000228881835938, 0.000228881835938)
@(5, 0x000D0000, 0x72438F80, -0.000228881835938, -0.000228881835938)
@(5, 0x000D0000, 0x72618080, 0.000228881835938, 0.000228881835938)
@(5, 0x000D0000, 0x72618F80, -0.000228881835938, -0.000228881835938)
@(5, 0x000D0000, 0x804C8080, -0.000228881835938, -0.000228881835938)
@(5, 0x000D0000, 0x804C8480, 0.000228881835938, 0.000228881835938)
@(5, 0x000F0000, 0x20201823, -0.000228881835938, -0.000228881835938)
@(5, 0x000F0000, 0x20205827, 0.000228881835938, 0.000228881835938)
@(5, 0x000F0000, 0x2020982B, 0.000228881835938, 0.000228881835938)
@(5, 0x00060000, 0x708F0F88, -0.000217437744141, -0.000217437744141)
@(5, 0x00060000, 0x7F700F88, 0.000217437744141, 0.000217437744141)
@(5, 0x000000F0, 0x02200577, 0.000213623046875, 0.000213623046875)
@(5, 0x000000F0, 0x022009AA, 0.000213623046875, 0.000213623046875)
@(5, 0x000000F0, 0x02250022, 0.000213623046875, 0.000213623046875)
@(5, 0x000000F0, 0x02250577, 0.000213623046875, 0.000213623046875)
@(5, 0x000000F0, 0x022508AA, -0.000213623046875, -0.000213623046875)
@(5, 0x000000F0, 0x02280577, 0.000213623046875, 0.000213623046875)
@(5, 0x00800000, 0x00880880, -0.000213623046875, -0.000213623046875)
@(5, 0x00800000, 0x00880884, -0.000213623046875, -0.000213623046875)
@(5, 0x00800000, 0x04CC0C80, -0.000213623046875, -0.000213623046875)
@(5, 0x00800000, 0x04CC0C84, -0.000213623046875, -0.000213623046875)
@(5, 0x00F00000, 0x00220225, 0.000213623046875, 0.000213623046875)
@(5, 0x00F00000, 0x00220720, 0.000213623046875, 0.000213623046875)
@(5, 0x00F00000, 0x00220725, 0.000213623046875, 0.000213623046875)
@(5, 0x00F00000, 0x00220B31, 0.000213623046875, 0.000213623046875)
@(5, 0x00F00000, 0x00220B39, 0.000213623046875, 0.000213623046875)
@(5, 0x00F00000, 0x00220F25, -0.000213623046875, -0.000213623046875)
@(5, 0x00F00000, 0x00220F28, -0.000213623046875, -0.000213623046875)
@(5, 0x20000000, 0x222AAD77, -0.000213623046875, -0.000213623046875)
@(5, 0x00009000, 0x8088707F, 0.000210285186768, 0.000210285186768)
@(5, 0x00009000, 0x80887F80, -0.000210285186768, -0.000210285186768)
@(5, 0x00000009, 0x84480088, 0.000205993652344, 0.000205993652344)
@(5, 0x00000009, 0x844A0088, 0.000205993652344, 0.000205993652344)
