PDF-compliant scoring report
Rule: valid iff VE in [VT-|VT|*2^(-2r), VT+|VT|*2^(-2r)], VE!=0, u!=0, v!=0
This solver computes VE and VT by exact sparse correlation composition, so VE = VT.

=== r = 1 ===
No  u           v           VE                 VT                 Score
286  0xE0000000  0x06000000     -0.500000000000     -0.500000000000    1.0000
287  0xF0000000  0x01000000      0.500000000000      0.500000000000    1.0000
288  0xF0000000  0x05000000      0.500000000000      0.500000000000    1.0000
r=1: count=288, sum=288.0000, max=1.0000, min=1.0000, avg=1.0000

=== r = 2 ===
No  u           v           VE                 VT                 Score
 1  0x00002000  0x08880000      1.000000000000      1.000000000000    4.0000
 2  0x20000000  0x00000888      1.000000000000      1.000000000000    4.0000
 3  0x00004000  0x01110000      0.750000000000      0.750000000000    3.5850
 4  0x00005000  0x05550000      0.750000000000      0.750000000000    3.5850
 5  0x00006000  0x09990000      0.750000000000      0.750000000000    3.5850
 6  0x00007000  0x0DDD0000      0.750000000000      0.750000000000    3.5850
 7  0x40000000  0x00000111      0.750000000000      0.750000000000    3.5850
 8  0x50000000  0x00000555      0.750000000000      0.750000000000    3.5850
 9  0x60000000  0x00000999      0.750000000000      0.750000000000    3.5850
10  0x70000000  0x00000DDD      0.750000000000      0.750000000000    3.5850
11  0x00001000  0x04440000      0.500000000000      0.500000000000    3.0000
12  0x00001000  0x0CCC0000     -0.500000000000     -0.500000000000    3.0000
13  0x00003000  0x04440000     -0.500000000000     -0.500000000000    3.0000
14  0x00003000  0x0CCC0000      0.500000000000      0.500000000000    3.0000
15  0x00008000  0x02220000      0.500000000000      0.500000000000    3.0000
16  0x00008000  0x0AAA0000     -0.500000000000     -0.500000000000    3.0000
17  0x00009000  0x06660000      0.500000000000      0.500000000000    3.0000
18  0x00009000  0x0EEE0000     -0.500000000000     -0.500000000000    3.0000
19  0x0000A000  0x02220000     -0.500000000000     -0.500000000000    3.0000
20  0x0000A000  0x0AAA0000      0.500000000000      0.500000000000    3.0000
21  0x0000B000  0x06660000     -0.500000000000     -0.500000000000    3.0000
22  0x0000B000  0x0EEE0000      0.500000000000      0.500000000000    3.0000
23  0x0000C000  0x03330000      0.500000000000      0.500000000000    3.0000
24  0x0000C000  0x07770000     -0.500000000000     -0.500000000000    3.0000
25  0x0000C000  0x0BBB0000     -0.500000000000     -0.500000000000    3.0000
26  0x0000C000  0x0FFF0000     -0.500000000000     -0.500000000000    3.0000
27  0x0000D000  0x07770000      0.500000000000      0.500000000000    3.0000
28  0x0000D000  0x0FFF0000     -0.500000000000     -0.500000000000    3.0000
29  0x0000E000  0x03330000     -0.500000000000     -0.500000000000    3.0000
30  0x0000E000  0x07770000     -0.500000000000     -0.500000000000    3.0000
31  0x0000E000  0x0BBB0000      0.500000000000      0.500000000000    3.0000
32  0x0000E000  0x0FFF0000     -0.500000000000     -0.500000000000    3.0000
33  0x0000F000  0x07770000     -0.500000000000     -0.500000000000    3.0000
34  0x0000F000  0x0FFF0000      0.500000000000      0.500000000000    3.0000
35  0x10000000  0x00000444      0.500000000000      0.500000000000    3.0000
36  0x10000000  0x00000CCC     -0.500000000000     -0.500000000000    3.0000
37  0x30000000  0x00000444     -0.500000000000     -0.500000000000    3.0000
38  0x30000000  0x00000CCC      0.500000000000      0.500000000000    3.0000
39  0x80000000  0x00000222      0.500000000000      0.500000000000    3.0000
40  0x80000000  0x00000AAA     -0.500000000000     -0.500000000000    3.0000
41  0x90000000  0x00000666      0.500000000000      0.500000000000    3.0000
42  0x90000000  0x00000EEE     -0.500000000000     -0.500000000000    3.0000
43  0xA0000000  0x00000222     -0.500000000000     -0.500000000000    3.0000
44  0xA0000000  0x00000AAA      0.500000000000      0.500000000000    3.0000
45  0xB0000000  0x00000666     -0.500000000000     -0.500000000000    3.0000
46  0xB0000000  0x00000EEE      0.500000000000      0.500000000000    3.0000
47  0xC0000000  0x00000333      0.500000000000      0.500000000000    3.0000
48  0xC0000000  0x00000777     -0.500000000000     -0.500000000000    3.0000
49  0xC0000000  0x00000BBB     -0.500000000000     -0.500000000000    3.0000
50  0xC0000000  0x00000FFF     -0.500000000000     -0.500000000000    3.0000
51  0xD0000000  0x00000777      0.500000000000      0.500000000000    3.0000
52  0xD0000000  0x00000FFF     -0.500000000000     -0.500000000000    3.0000
53  0xE0000000  0x00000333     -0.500000000000     -0.500000000000    3.0000
54  0xE0000000  0x00000777     -0.500000000000     -0.500000000000    3.0000
55  0xE0000000  0x00000BBB      0.500000000000      0.500000000000    3.0000
56  0xE0000000  0x00000FFF     -0.500000000000     -0.500000000000    3.0000
57  0xF0000000  0x00000777     -0.500000000000     -0.500000000000    3.0000
58  0xF0000000  0x00000FFF      0.500000000000      0.500000000000    3.0000
59  0x00000002  0x07008008     -0.250000000000     -0.250000000000    2.0000
60  0x00000002  0x08007007     -0.250000000000     -0.250000000000    2.0000
61  0x00000002  0x08008008     -0.250000000000     -0.250000000000    2.0000
62  0x00000002  0x0C00C00C     -0.250000000000     -0.250000000000    2.0000
63  0x00000003  0x04004004      0.250000000000      0.250000000000    2.0000
64  0x00000004  0x01001001      0.250000000000      0.250000000000    2.0000
65  0x00000004  0x05005005      0.250000000000      0.250000000000    2.0000
66  0x00000006  0x09009009     -0.250000000000     -0.250000000000    2.0000
