PDF-compliant scoring report (Way-2 approximation) [Optimized v2]
Rule: valid iff |VE-VT| <= |VT|*2^(-2r), VE!=0, u!=0, v!=0

=== r = 1 ===
No  u           v           VE                 VT                 Score   Exact?
228  0x00000040  0x00000202              0.5000              0.5000    1.0000  Y
229  0x00000050  0x00000F0F              0.5000              0.5000    1.0000  Y
230  0x00000050  0x00000808             -0.5000             -0.5000    1.0000  Y
231  0x00000060  0x00000B0B             -0.5000             -0.5000    1.0000  Y
232  0x00000060  0x00000A0A             -0.5000             -0.5000    1.0000  Y
233  0x00000060  0x00000303              0.5000              0.5000    1.0000  Y
234  0x00000060  0x00000202             -0.5000             -0.5000    1.0000  Y
235  0x00000070  0x00000C0C              0.5000              0.5000    1.0000  Y
236  0x00000070  0x00000B0B              0.5000              0.5000    1.0000  Y
237  0x00000080  0x00000E0E              0.5000              0.5000    1.0000  Y
238  0x00000080  0x00000404              0.5000              0.5000    1.0000  Y
239  0x00000090  0x00000C0C              0.5000              0.5000    1.0000  Y
240  0x00000090  0x00000808             -0.5000             -0.5000    1.0000  Y
241  0x000000A0  0x00000E0E              0.5000              0.5000    1.0000  Y
242  0x000000A0  0x00000404             -0.5000             -0.5000    1.0000  Y
243  0x000000B0  0x00000D0D              0.5000              0.5000    1.0000  Y
244  0x000000B0  0x00000909             -0.5000             -0.5000    1.0000  Y
245  0x000000C0  0x00000606              0.5000              0.5000    1.0000  Y
246  0x000000C0  0x00000404             -0.5000             -0.5000    1.0000  Y
247  0x000000D0  0x00000C0C             -0.5000             -0.5000    1.0000  Y
248  0x000000D0  0x00000808             -0.5000             -0.5000    1.0000  Y
249  0x000000E0  0x00000606             -0.5000             -0.5000    1.0000  Y
250  0x000000E0  0x00000404             -0.5000             -0.5000    1.0000  Y
251  0x000000F0  0x00000505              0.5000              0.5000    1.0000  Y
252  0x000000F0  0x00000101              0.5000              0.5000    1.0000  Y
253  0x00000001  0x80080000              0.5000              0.5000    1.0000  Y
254  0x00000001  0x70070000             -0.5000             -0.5000    1.0000  Y
255  0x00000002  0xD00D0000             -0.5000             -0.5000    1.0000  Y
256  0x00000002  0x90090000             -0.5000             -0.5000    1.0000  Y
257  0x00000002  0x50050000             -0.5000             -0.5000    1.0000  Y
258  0x00000002  0x10010000              0.5000              0.5000    1.0000  Y
259  0x00000003  0xC00C0000              0.5000              0.5000    1.0000  Y
260  0x00000003  0x30030000              0.5000              0.5000    1.0000  Y
261  0x00000004  0xF00F0000              0.5000              0.5000    1.0000  Y
262  0x00000004  0xA00A0000             -0.5000             -0.5000    1.0000  Y
263  0x00000004  0x70070000              0.5000              0.5000    1.0000  Y
264  0x00000004  0x20020000              0.5000              0.5000    1.0000  Y
265  0x00000005  0xF00F0000              0.5000              0.5000    1.0000  Y
266  0x00000005  0x80080000             -0.5000             -0.5000    1.0000  Y
267  0x00000006  0xB00B0000             -0.5000             -0.5000    1.0000  Y
268  0x00000006  0xA00A0000             -0.5000             -0.5000    1.0000  Y
269  0x00000006  0x30030000              0.5000              0.5000    1.0000  Y
270  0x00000006  0x20020000             -0.5000             -0.5000    1.0000  Y
271  0x00000007  0xC00C0000              0.5000              0.5000    1.0000  Y
272  0x00000007  0xB00B0000              0.5000              0.5000    1.0000  Y
273  0x00000008  0xE00E0000              0.5000              0.5000    1.0000  Y
274  0x00000008  0x40040000              0.5000              0.5000    1.0000  Y
275  0x00000009  0xC00C0000              0.5000              0.5000    1.0000  Y
276  0x00000009  0x80080000             -0.5000             -0.5000    1.0000  Y
277  0x0000000A  0xE00E0000              0.5000              0.5000    1.0000  Y
278  0x0000000A  0x40040000             -0.5000             -0.5000    1.0000  Y
279  0x0000000B  0xD00D0000              0.5000              0.5000    1.0000  Y
280  0x0000000B  0x90090000             -0.5000             -0.5000    1.0000  Y
281  0x0000000C  0x60060000              0.5000              0.5000    1.0000  Y
282  0x0000000C  0x40040000             -0.5000             -0.5000    1.0000  Y
283  0x0000000D  0xC00C0000             -0.5000             -0.5000    1.0000  Y
284  0x0000000D  0x80080000             -0.5000             -0.5000    1.0000  Y
285  0x0000000E  0x60060000             -0.5000             -0.5000    1.0000  Y
286  0x0000000E  0x40040000             -0.5000             -0.5000    1.0000  Y
